Год, Январь, Февраль, Март, Апрель, Май, Июнь, Июль, Август, Сентябрь, Октябрь, Ноябрь, Декабрь
1991,106.200000000000,104.800000000000,106.300000000000,163.500000000000,103.000000000000,101.200000000000,100.600000000000,100.500000000000,101.100000000000,103.500000000000,108.900000000000,112.100000000000
1992,345.300000000000,138.000000000000,129.900000000000,121.700000000000,111.900000000000,119.100000000000,110.600000000000,108.600000000000,111.500000000000,122.900000000000,126.100000000000,125.200000000000
1993,125.800000000000,124.700000000000,120.100000000000,118.700000000000,118.100000000000,119.900000000000,122.390000000000,126.000000000000,123.000000000000,119.500000000000,116.390000000000,112.500000000000
1994,117.900000000000,110.820000000000,107.410000000000,108.490000000000,106.910000000000,106.000000000000,105.330000000000,104.620000000000,107.960000000000,115.000000000000,114.610000000000,116.440000000000
1995,117.770000000000,111.020000000000,108.940000000000,108.470000000000,107.930000000000,106.660000000000,105.380000000000,104.560000000000,104.460000000000,104.720000000000,104.560000000000,103.200000000000
1996,104.110000000000,102.790000000000,102.800000000000,102.160000000000,101.600000000000,101.170000000000,100.720000000000,99.790000000000,100.330000000000,101.200000000000,101.880000000000,101.420000000000
1997,102.340000000000,101.540000000000,101.430000000000,100.960000000000,100.940000000000,101.100000000000,100.930000000000,99.860000000000,99.700000000000,100.170000000000,100.610000000000,100.960000000000
1998,101.510000000000,100.890000000000,100.640000000000,100.380000000000,100.500000000000,100.080000000000,100.170000000000,103.670000000000,138.430000000000,104.540000000000,105.670000000000,111.610000000000
1999,108.380000000000,104.130000000000,102.790000000000,103.030000000000,102.220000000000,101.910000000000,102.820000000000,101.160000000000,101.480000000000,101.370000000000,101.230000000000,101.260000000000
2000,102.330000000000,101.040000000000,100.640000000000,100.890000000000,101.750000000000,102.550000000000,101.790000000000,100.980000000000,101.320000000000,102.110000000000,101.520000000000,101.640000000000
2001,102.760000000000,102.280000000000,101.860000000000,101.790000000000,101.780000000000,101.620000000000,100.450000000000,100.010000000000,100.600000000000,101.090000000000,101.360000000000,101.600000000000
2002,103.090000000000,101.160000000000,101.080000000000,101.160000000000,101.690000000000,100.530000000000,100.720000000000,100.090000000000,100.400000000000,101.070000000000,101.610000000000,101.540000000000
2003,102.400000000000,101.630000000000,101.050000000000,101.020000000000,100.800000000000,100.800000000000,100.710000000000,99.590000000000,100.340000000000,101.000000000000,100.960000000000,101.100000000000
2004,101.750000000000,100.990000000000,100.750000000000,100.990000000000,100.740000000000,100.780000000000,100.920000000000,100.420000000000,100.430000000000,101.140000000000,101.110000000000,101.140000000000
2005,102.620000000000,101.230000000000,101.340000000000,101.120000000000,100.800000000000,100.640000000000,100.460000000000,99.860000000000,100.250000000000,100.550000000000,100.740000000000,100.820000000000
2006,102.430000000000,101.660000000000,100.820000000000,100.350000000000,100.480000000000,100.280000000000,100.670000000000,100.190000000000,100.090000000000,100.280000000000,100.630000000000,100.790000000000
2007,101.680000000000,101.110000000000,100.590000000000,100.570000000000,100.630000000000,100.950000000000,100.870000000000,100.090000000000,100.790000000000,101.640000000000,101.230000000000,101.130000000000
2008,102.310000000000,101.200000000000,101.200000000000,101.420000000000,101.350000000000,100.970000000000,100.510000000000,100.360000000000,100.800000000000,100.910000000000,100.830000000000,100.690000000000
2009,102.370000000000,101.650000000000,101.310000000000,100.690000000000,100.570000000000,100.600000000000,100.630000000000,100.000000000000,99.970000000000,100.000000000000,100.290000000000,100.410000000000
2010,101.640000000000,100.860000000000,100.630000000000,100.290000000000,100.500000000000,100.390000000000,100.360000000000,100.550000000000,100.840000000000,100.500000000000,100.810000000000,101.080000000000
2011,102.370000000000,100.780000000000,100.620000000000,100.430000000000,100.480000000000,100.230000000000,99.990000000000,99.760000000000,99.960000000000,100.480000000000,100.420000000000,100.440000000000
2012,100.500000000000,100.370000000000,100.580000000000,100.310000000000,100.520000000000,100.890000000000,101.230000000000,100.100000000000,100.550000000000,100.460000000000,100.340000000000,100.540000000000
2013,100.970000000000,100.560000000000,100.340000000000,100.510000000000,100.660000000000,100.420000000000,100.820000000000,100.140000000000,100.210000000000,100.570000000000,100.560000000000,100.510000000000
2014,100.590000000000,100.700000000000,101.020000000000,100.900000000000,100.900000000000,100.620000000000,100.490000000000,100.240000000000,100.650000000000,100.820000000000,101.280000000000,102.620000000000
2015,103.850000000000,102.220000000000,101.210000000000,100.460000000000,100.350000000000,100.190000000000,100.800000000000,100.350000000000,100.570000000000,100.740000000000,100.750000000000,100.770000000000
2016,100.960000000000,100.630000000000,100.460000000000,100.440000000000,100.410000000000,100.360000000000,100.540000000000,100.010000000000,100.170000000000,100.430000000000,100.440000000000,100.400000000000
2017,100.620000000000,100.220000000000,100.130000000000,100.330000000000,100.370000000000,100.610000000000,100.070000000000,99.460000000000,99.850000000000,100.200000000000,100.220000000000,100.420000000000
2018,100.310000000000,100.210000000000,100.290000000000,100.380000000000,100.380000000000,100.490000000000,100.270000000000,100.010000000000,100.160000000000,100.350000000000,100.500000000000,100.840000000000
2019,101.010000000000,100.440000000000,100.320000000000,100.290000000000,100.340000000000,100.040000000000,100.200000000000,99.760000000000,99.840000000000,100.130000000000,100.280000000000,100.360000000000
2020,100.400000000000,100.330000000000,100.550000000000,100.830000000000,100.270000000000,100.220000000000,100.350000000000,99.960000000000,99.930000000000,100.430000000000,100.710000000000,100.830000000000
2021,100.670000000000,100.780000000000,100.660000000000,100.580000000000,100.740000000000,100.690000000000,100.310000000000,100.170000000000,100.600000000000,101.110000000000,100.960000000000,100.820000000000
2022,100.990000000000,101.170000000000,107.610000000000,101.560000000000,100.120000000000,99.650000000000,99.610000000000,99.480000000000,100.050000000000,100.180000000000,100.370000000000,100.780000000000
2023,100.840000000000,100.460000000000,100.370000000000,100.380000000000,100.310000000000,100.370000000000,100.630000000000,100.280000000000,100.870000000000,100.830000000000,,
